id	supported by	compatible with	conflicts with	is trivial in
mrcaott392179ott392185	node node34 for https://tree.opentreeoflife.org/curator/study/view/ot_594/?tab=trees&tree=tree1			
mrcaott392179ott703861	node node45 for https://tree.opentreeoflife.org/curator/study/view/ot_594/?tab=trees&tree=tree1			
mrcaott392185ott3624267	node node36 for https://tree.opentreeoflife.org/curator/study/view/ot_594/?tab=trees&tree=tree1			
mrcaott392185ott3624310	node node37 for https://tree.opentreeoflife.org/curator/study/view/ot_594/?tab=trees&tree=tree1			
mrcaott415375ott619414	node Tn13587386 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777			
mrcaott45425ott61491	node Tn13587507 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777			
mrcaott467693ott3624152	node node73 for https://tree.opentreeoflife.org/curator/study/view/ot_594/?tab=trees&tree=tree1			
mrcaott467693ott3624153	node node76 for https://tree.opentreeoflife.org/curator/study/view/ot_594/?tab=trees&tree=tree1			
mrcaott50908ott113061	node Tn13587354 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777			
mrcaott50908ott113061	node Tn8979930 for https://tree.opentreeoflife.org/curator/study/view/ot_595/?tab=trees&tree=Tr53782			
mrcaott50908ott90511	node Tn13587493 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777			
mrcaott516685ott804549	node Tn8968585 for https://tree.opentreeoflife.org/curator/study/view/ot_625/?tab=trees&tree=Tr53737			
mrcaott52809ott129839	node Tn13587330 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777			
mrcaott531339ott531342	node Tn13587408 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777			
mrcaott532334ott671060				node ott791207 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777
mrcaott532334ott671060	node Tn8987720 for https://tree.opentreeoflife.org/curator/study/view/ot_591/?tab=trees&tree=Tr53870			
mrcaott532334ott791207				node ott791207 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777
mrcaott532334ott791207	node Tn8987729 for https://tree.opentreeoflife.org/curator/study/view/ot_591/?tab=trees&tree=Tr53870			
mrcaott53826ott215091	node Tn13587358 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777			
mrcaott544761ott582524				node ott582524 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777
mrcaott544761ott582524	node node32 for https://tree.opentreeoflife.org/curator/study/view/ot_590/?tab=trees&tree=tree1			
mrcaott54944ott168395	node Tn13587486 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777			
mrcaott56579ott926781	node Tn13587349 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777			
mrcaott61484ott641163	node node37 for https://tree.opentreeoflife.org/curator/study/view/ot_631/?tab=trees&tree=tree1			
mrcaott61484ott96812	node node35 for https://tree.opentreeoflife.org/curator/study/view/ot_631/?tab=trees&tree=tree1			
mrcaott61484ott96818	node node31 for https://tree.opentreeoflife.org/curator/study/view/ot_631/?tab=trees&tree=tree1			
mrcaott61486ott261879		node node2 for https://tree.opentreeoflife.org/curator/study/view/ot_631/?tab=trees&tree=tree1		
mrcaott61486ott261879	node Tn8968574 for https://tree.opentreeoflife.org/curator/study/view/ot_625/?tab=trees&tree=Tr53737			
mrcaott61486ott467695			node node13 for https://tree.opentreeoflife.org/curator/study/view/ot_631/?tab=trees&tree=tree1	
mrcaott61486ott467695			node node27 for https://tree.opentreeoflife.org/curator/study/view/ot_631/?tab=trees&tree=tree1	
mrcaott61486ott467695			node node5 for https://tree.opentreeoflife.org/curator/study/view/ot_631/?tab=trees&tree=tree1	
mrcaott61486ott467695	node Tn8979935 for https://tree.opentreeoflife.org/curator/study/view/ot_595/?tab=trees&tree=Tr53782			
mrcaott61487ott583421	node Tn13587402 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777			
mrcaott619414ott1057296	node Tn13587344 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777			
mrcaott619744ott3623490	node node33 for https://tree.opentreeoflife.org/curator/study/view/ot_589/?tab=trees&tree=tree1			
mrcaott6225ott1074074	node Tn13587351 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777			
mrcaott6225ott9152	node Tn13587514 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777			
mrcaott671072ott671080	node Tn8968614 for https://tree.opentreeoflife.org/curator/study/view/ot_625/?tab=trees&tree=Tr53737			
mrcaott701523ott759346				node ott701523 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777
mrcaott701523ott759346	node node12 for https://tree.opentreeoflife.org/curator/study/view/ot_627/?tab=trees&tree=tree1			
mrcaott801ott113063	node Tn13587313 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777			
mrcaott801ott2356			node node13 for https://tree.opentreeoflife.org/curator/study/view/ot_631/?tab=trees&tree=tree1	
mrcaott801ott2356	node Tn13587362 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777			
mrcaott801ott30860	node Tn13587503 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777			
mrcaott801ott3261			node node13 for https://tree.opentreeoflife.org/curator/study/view/ot_631/?tab=trees&tree=tree1	
mrcaott801ott3261			node node27 for https://tree.opentreeoflife.org/curator/study/view/ot_631/?tab=trees&tree=tree1	
