id	supported by	compatible with	conflicts with	is trivial in
mrcaott245803ott502933				node ott502933 for https://tree.opentreeoflife.org/curator/study/view/pg_2842/?tab=trees&tree=tree6603
mrcaott245803ott502933				node ott502933 for https://tree.opentreeoflife.org/curator/study/view/pg_2916/?tab=trees&tree=tree6744
mrcaott245803ott502933	node node16 for https://tree.opentreeoflife.org/curator/study/view/ot_71/?tab=trees&tree=tree1			
mrcaott251974ott458843			node node6 for https://tree.opentreeoflife.org/curator/study/view/ot_75/?tab=trees&tree=tree1	
mrcaott251974ott458843	node node1152923 for https://tree.opentreeoflife.org/curator/study/view/pg_2842/?tab=trees&tree=tree6603			
mrcaott251974ott458843	node node1173748 for https://tree.opentreeoflife.org/curator/study/view/pg_2916/?tab=trees&tree=tree6744			
mrcaott251974ott458843	node node35 for https://tree.opentreeoflife.org/curator/study/view/ot_74/?tab=trees&tree=tree1			
mrcaott251974ott664820			node node6 for https://tree.opentreeoflife.org/curator/study/view/ot_75/?tab=trees&tree=tree1	
mrcaott251974ott664820	node node1152922 for https://tree.opentreeoflife.org/curator/study/view/pg_2842/?tab=trees&tree=tree6603			
mrcaott251974ott664820	node node1173746 for https://tree.opentreeoflife.org/curator/study/view/pg_2916/?tab=trees&tree=tree6744			
mrcaott251974ott664820	node node34 for https://tree.opentreeoflife.org/curator/study/view/ot_74/?tab=trees&tree=tree1			
mrcaott251974ott791782				node ott251974 for https://tree.opentreeoflife.org/curator/study/view/ot_74/?tab=trees&tree=tree1
mrcaott251974ott791782			node node6 for https://tree.opentreeoflife.org/curator/study/view/ot_75/?tab=trees&tree=tree1	
mrcaott251974ott791782			node node7 for https://tree.opentreeoflife.org/curator/study/view/ot_75/?tab=trees&tree=tree1	
mrcaott251974ott791782	node node1152929 for https://tree.opentreeoflife.org/curator/study/view/pg_2842/?tab=trees&tree=tree6603			
mrcaott251974ott791782	node node1173749 for https://tree.opentreeoflife.org/curator/study/view/pg_2916/?tab=trees&tree=tree6744			
mrcaott259513ott750634				node ott259513 for https://tree.opentreeoflife.org/curator/study/view/ot_615/?tab=trees&tree=Tr76459
mrcaott259513ott750634				node ott259513 for https://tree.opentreeoflife.org/curator/study/view/pg_2842/?tab=trees&tree=tree6603
