id	supported by	compatible with	conflicts with	is trivial in
ott5048849	node ott5048849 for https://tree.opentreeoflife.org/curator/study/view/ot_629/?tab=trees&tree=tree1
ott5048915	node ott5048915 for https://tree.opentreeoflife.org/curator/study/view/ot_629/?tab=trees&tree=tree1
ott4606627	node ott4606627 for https://tree.opentreeoflife.org/curator/study/view/ot_629/?tab=trees&tree=tree1
ott4606627	node ott4606627 for https://tree.opentreeoflife.org/curator/study/view/ot_628/?tab=trees&tree=tree1
ott4606627	node ott4606627 for https://tree.opentreeoflife.org/curator/study/view/ot_612/?tab=trees&tree=tree1
ott4606627	node ott4606627 for https://tree.opentreeoflife.org/curator/study/view/ot_611/?tab=trees&tree=tree1
ott4606627	node ott4606627 for https://tree.opentreeoflife.org/curator/study/view/ot_616/?tab=trees&tree=tree2
ott4606626	node ott4606627 for https://tree.opentreeoflife.org/curator/study/view/ot_629/?tab=trees&tree=tree1
ott4606626	node ott4606627 for https://tree.opentreeoflife.org/curator/study/view/ot_628/?tab=trees&tree=tree1
ott4606626	node ott4606627 for https://tree.opentreeoflife.org/curator/study/view/ot_612/?tab=trees&tree=tree1
ott4606626	node ott4606627 for https://tree.opentreeoflife.org/curator/study/view/ot_611/?tab=trees&tree=tree1
ott4606626	node ott4606627 for https://tree.opentreeoflife.org/curator/study/view/ot_616/?tab=trees&tree=tree2
ott4606622	node ott4606622 for https://tree.opentreeoflife.org/curator/study/view/ot_629/?tab=trees&tree=tree1
ott4606621	node ott4606622 for https://tree.opentreeoflife.org/curator/study/view/ot_629/?tab=trees&tree=tree1
ott4606620	node ott4606620 for https://tree.opentreeoflife.org/curator/study/view/ot_629/?tab=trees&tree=tree1
ott5048851	node ott5048851 for https://tree.opentreeoflife.org/curator/study/view/ot_636/?tab=trees&tree=tree1
ott3407765	node ott3407764 for https://tree.opentreeoflife.org/curator/study/view/ot_629/?tab=trees&tree=tree1
ott3407765	node ott3407764 for https://tree.opentreeoflife.org/curator/study/view/ot_626/?tab=trees&tree=tree1
ott5048971	node ott5048971 for https://tree.opentreeoflife.org/curator/study/view/ot_628/?tab=trees&tree=tree1
ott5048971	node ott5048971 for https://tree.opentreeoflife.org/curator/study/view/ot_612/?tab=trees&tree=tree1
ott5048971	node ott5048971 for https://tree.opentreeoflife.org/curator/study/view/ot_611/?tab=trees&tree=tree1
ott5048971	node ott5048971 for https://tree.opentreeoflife.org/curator/study/view/ot_616/?tab=trees&tree=tree2
ott3407761	node ott5048876 for https://tree.opentreeoflife.org/curator/study/view/ot_629/?tab=trees&tree=tree1
ott3407761	node ott5048876 for https://tree.opentreeoflife.org/curator/study/view/ot_628/?tab=trees&tree=tree1
ott3407761	node ott5048876 for https://tree.opentreeoflife.org/curator/study/view/ot_612/?tab=trees&tree=tree1
ott3407761	node ott5048876 for https://tree.opentreeoflife.org/curator/study/view/ot_611/?tab=trees&tree=tree1
ott3407761	node ott5048876 for https://tree.opentreeoflife.org/curator/study/view/ot_616/?tab=trees&tree=tree2
ott914415	node ott914415 for https://tree.opentreeoflife.org/curator/study/view/ot_601/?tab=trees&tree=tree1
ott914415	node ott914415 for https://tree.opentreeoflife.org/curator/study/view/ot_629/?tab=trees&tree=tree1
ott914415	node ott914415 for https://tree.opentreeoflife.org/curator/study/view/ot_617/?tab=trees&tree=tree1
ott914415	node ott914415 for https://tree.opentreeoflife.org/curator/study/view/ot_626/?tab=trees&tree=tree1
ott914415	node ott914415 for https://tree.opentreeoflife.org/curator/study/view/ot_628/?tab=trees&tree=tree1
ott914415	node ott914415 for https://tree.opentreeoflife.org/curator/study/view/ot_612/?tab=trees&tree=tree1
ott914415	node ott914415 for https://tree.opentreeoflife.org/curator/study/view/ot_611/?tab=trees&tree=tree1
ott914415	node ott914415 for https://tree.opentreeoflife.org/curator/study/view/ot_616/?tab=trees&tree=tree2
ott4606628	node ott4606629 for https://tree.opentreeoflife.org/curator/study/view/ot_629/?tab=trees&tree=tree1
ott3407769	node ott5048975 for https://tree.opentreeoflife.org/curator/study/view/ot_629/?tab=trees&tree=tree1
ott3407769	node ott5048975 for https://tree.opentreeoflife.org/curator/study/view/ot_628/?tab=trees&tree=tree1
ott3407769	node ott5048975 for https://tree.opentreeoflife.org/curator/study/view/ot_612/?tab=trees&tree=tree1
ott3407769	node ott5048975 for https://tree.opentreeoflife.org/curator/study/view/ot_611/?tab=trees&tree=tree1
ott3407769	node ott5048975 for https://tree.opentreeoflife.org/curator/study/view/ot_616/?tab=trees&tree=tree2
ott4606640	node ott5049009 for https://tree.opentreeoflife.org/curator/study/view/ot_629/?tab=trees&tree=tree1
ott4606640	node ott5049009 for https://tree.opentreeoflife.org/curator/study/view/ot_628/?tab=trees&tree=tree1
